episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
220,1.0,0.2077538955136492,-2.1729695483372597,179.98717092730607,-30.0,0.5,[-30.0 0.5],0.0,False,True,0.2333417013810535,0,59.99785047027138,840.414,prepare,0.0,0
220,2.0,0.20775390119080037,-2.1729670099369005,179.9865076096849,30.0,1.7947555727457882,[30.0 1.7947555727457882],0.6659497639174075,False,True,0.23334169291509746,0,59.99785047027138,840.485,in_progress,0.0,0
220,3.0,0.2008829200869331,-2.175020998100187,-179.6833610342637,-0.6446991252830294,0.5,[-0.6446991252830294 0.5],0.38500121459750963,False,True,0.24479293187240592,0,59.99785047027138,840.534,in_progress,0.0,0
220,4.0,0.18303185876008793,-2.1786925467545593,-178.75188851212476,30.0,1.874904965940107,[30.0 1.874904965940107],0.6212928504901534,False,True,0.2745443247828971,1,59.99785047027138,840.601,in_progress,0.0,0
220,5.0,0.14754449732097555,-2.18838362634712,-176.5538573657928,5.387734614681911,3.2027968399474886,[5.387734614681911 3.2027968399474886],1.1810732909576227,False,True,0.33368824086875165,1,59.99785047027138,840.681,in_progress,0.0,0
220,6.0,0.10357755386471787,-2.205122957325405,-173.46249492256592,-30.0,2.1901321739826103,[-30.0 2.1901321739826103],0.7126019370107297,False,True,0.4069625332040804,1,59.99785047027138,840.742,in_progress,0.0,0
220,7.0,0.05381965844132816,-2.216424101912765,-172.15857658479675,-0.3756384388034846,4.0,[-0.3756384388034846 4.0],1.4498443549773279,False,True,0.48989089211240766,1,59.99785047027138,840.8,in_progress,0.0,0
220,8.0,-0.014693898764417707,-2.2233538774164066,-172.46687162849236,2.6128517685684045,1.706844953718763,[2.6128517685684045 1.706844953718763],0.7899630038402091,False,True,0.6041511254882177,1,59.99785047027138,840.873,in_progress,0.0,0
220,9.0,-0.09452896650896783,-2.2473738648132464,-169.56384165238953,20.574934900181134,3.764502299883852,[20.574934900181134 3.764502299883852],1.1511925356373707,False,True,0.7372380466227558,1,59.99785047027138,840.928,in_progress,0.0,0
220,10.0,-0.18878522593480293,-2.2864772284549137,-164.80034615357366,-30.0,1.3269864960464104,[-30.0 1.3269864960464104],0.5459398262376361,False,True,0.8943760461529076,2,59.99785047027138,841.006,in_progress,0.0,0
220,11.0,-0.2850043954327328,-2.332554416780054,-160.26573110317202,-12.003314931109756,2.9090762225087428,[-12.003314931109756 2.9090762225087428],1.1480430024822232,False,True,1.0546880039161182,2,59.99785047027138,841.068,in_progress,0.0,0
220,12.0,-0.38268488389503175,-2.3661794506332345,-160.4467892798839,-30.0,4.0,[-30.0 4.0],1.1808175908837204,False,True,1.2175058161545345,2,59.99785047027138,841.144,in_progress,0.0,0
220,13.0,-0.5145324359458252,-2.3943785815221466,-164.13186165366713,-30.0,4.0,[-30.0 4.0],1.214267697863919,False,True,1.4372689711593567,3,59.99785047027138,841.213,in_progress,0.0,0
220,14.0,-0.6486016694200958,-2.4022719164437234,-170.29554179838846,-30.0,4.0,[-30.0 4.0],1.1320699549149544,False,True,1.6603497745747722,3,59.99785047027138,841.28,in_progress,0.0,0
220,15.0,-0.7847921827667054,-2.3956090089244713,-176.83582755113056,-1.1989853437245337,0.5,[-1.1989853437245337 0.5],0.630570401702244,False,True,1.887350819912895,4,59.99785047027138,841.339,in_progress,0.0,0
220,16.0,-0.920270055562966,-2.3867918564511776,177.97237264896856,-30.0,4.0,[-30.0 4.0],1.301183284119795,False,True,2.11337539257276,4,59.99785047027138,841.411,in_progress,0.0,0
220,17.0,-1.0729164641599893,-2.378443549288582,176.8704986305775,30.0,4.0,[30.0 4.0],1.3314601645788096,False,True,2.3677980659727766,4,59.99785047027138,841.466,in_progress,0.0,0
